Genus,Species,subspecies,Family,Climate zone,Forest type,Positon,Diameters (cm),Model type,Target variable,k (per year),stderr k (per year),Decay resistance,Initial density (Mg per m cubed),Reported precipitation (mm per year),Reported temperature ( C ),WC precipitation (mm per year),WC temperature ( C ),Reference,
Picea,engelmannii,.,Pineacae,Temperate,EF,CWD-downed,5 - 15,S,density,0.00395,-99,0,0.574,600,0.5,990,5.18,Johnson and Greene 1991,
Picea,engelmannii,.,Pineacae,Temperate,EF,CWD-downed,>10,S,mass,0.028,0.002,0,-99,737,0.5,612,0.49,Harmon et al 2005 a,
Picea,glauca,.,Pineacae,Boreal,EF,CWD-downed,9 - 24,S,density,0.071,-99,0,0.3445,640,1,707,6.24,Alban and Pastor 1993,
Picea,glauca,.,Pineacae,Boreal,EF,CWD-downed,>10,S,density,0.038,-99,0,0.426,950,0.7,877,1.08,Brais et al 2006,
Picea,glauca,.,Pineacae,Boreal,EF,CWD-downed,15,S,mass,0.024,0.004,0,-99,638,2.85,846,3.96,Herrmann and Prescott 2008,
Picea,glauca,.,Pineacae,Boreal,EF,CWD-downed,15,Sig,mass,0.05,0.006,0,-99,660,2,583,2.24,Laiho and Prescott 1999 ,
Picea,lutzii,.,Pineacae,Temperate,EF,CWD-downed,>10,S,mass,0.019,-99,0,0.37,623,1.1,796,2.62,Harmon et al 2005 b,
Picea,lutzii,.,Pineacae,Temperate,EF,CWD-standing,>10,S,mass,0.0001,-99,0,0.37,623,1.1,796,2.62,Harmon et al 2005 b,
Picea,mariana,.,Pineacae,Boreal,EF,CWD-downed,>10,L,density,0.004,-99,0,0.428,-99,-99,461,-0.27,Sander 2002,
Picea,obovata,.,Pineacae,Boreal,EF,CWD-downed,>10,S,mass,0.049,0.006,0,0.358,361,-3.2,465,0.66,Yatskov et al 2003,
Picea,obovata,.,Pineacae,Boreal,EF,CWD-standing,>10,S,mass,-0.006,0.0043,0,0.358,361,-3.2,465,0.66,Yatskov et al 2003,
Picea,rubens,.,Pineacae,Temperate,EF,CWD-downed,10 - 15,S,density,0.011,-99,0,0.4,1335,3.85,1197,6.63,Foster and Lang 1982,
Picea,rubens,.,Pineacae,Temperate,EF,CWD-downed,15 - 25,S,density,0.014,-99,0,0.4,1335,3.85,1197,6.63,Foster and Lang 1982,
Picea,rubens,.,Pineacae,Temperate,EF,CWD-downed,>25,S,density,0.022,-99,0,0.4,1335,3.85,1197,6.63,Foster and Lang 1982,
Picea,rubens,.,Pineacae,Temperate,EF,CWD-downed,15 - 25,S,density,0.027,-99,0,0.43,1335,3.85,1197,6.63,Foster and Lang 1982,
Picea,rubens,.,Pineacae,Temperate,EF,CWD-downed,>25,S,density,0.032,-99,0,0.43,1335,3.85,1197,6.63,Foster and Lang 1982,
Picea,rubens,.,Pineacae,Temperate,EF,CWD-downed,10 - 15,S,density,0.033,-99,0,0.43,1335,3.85,1197,6.63,Foster and Lang 1982,
Picea,sitchensis,.,Pineacae,Temperate,EF,CWD-downed,>60,S,density,0.0096,-99,0,0.434,3550,8.9,582,6.39,Graham and Cromack 1982,
Picea,sitchensis,.,Pineacae,Temperate,EF,CWD-downed,< 60,S,density,0.0111,-99,0,0.434,3550,8.9,582,6.39,Graham and Cromack 1982,
Picea,sitchensis,.,Pineacae,Temperate,EF,CWD-downed,< 60,S,density,0.0119,-99,0,0.434,3550,8.9,582,6.39,Graham and Cromack 1982,
Picea,sitchensis,.,Pineacae,Temperate,EF,CWD-downed,>10,S,mass,0.023,-99,0,-99,2489,10,1060,11.37,Harmon et al 2005 a,
Picea,sitchensis,.,Pineacae,Temperate,EF,CWD-downed,>10,S,density,0.059,-99,0,-99,850,9.3,1128,9.58,Olajuyigbe et al 2011,
Pinus,banksiana,.,Pineacae,Boreal,EF,CWD-downed,> 5,L,density,0.005,-99,0,0.38,-99,-99,995,-2.28,Sander 2002,
Pinus,banksiana,.,Pineacae,Boreal,EF,CWD-downed,>10,S,mass,0.062,0.013,0,0.395,780,3.3,708,3.77,Harmon et al unpublished,
Pinus,banksiana,.,Pineacae,Boreal,EF,CWD-downed,>10,S,density,0.02,-99,0,0.397,950,0.7,877,1.08,Brais et al 2006,
Pinus,banksiana,.,Pineacae,Boreal,EF,CWD-downed,9 - 24,S,density,0.042,-99,0,0.4195,640,1,707,6.24,Alban and Pastor 1993,
Pinus,contorta,.,Pineacae,Temperate,EF,CWD-downed,>10,S,mass,0.018,0.002,0,0.391,737,0.5,612,0.49,Harmon et al unpublished,
Pinus,contorta,.,Pineacae,Temperate,EF,CWD-downed,>10,S,mass,0.023,0.002,0,-99,737,0.5,612,0.49,Harmon et al 2005 a,
Pinus,contorta,.,Pineacae,Temperate,EF,CWD-downed,>10,S,mass,0.042,-99,0,-99,813,7,548,6.22,Harmon et al 2005 a,
Pinus,contorta,.,Pineacae,Temperate,EF,CWD-downed,15,S,mass,0.072,0.006,0,-99,638,2.85,846,3.96,Herrmann and Prescott 2008,
Pinus,contorta,.,Pineacae,Temperate,EF,CWD-downed,15,Sig,mass,0.082,0.002,0,-99,660,2,583,2.24,Laiho and Prescott 1999 ,
Pinus,contorta,.,Pineacae,Temperate,EF,CWD-standing,>10,S,mass,0.002,0.0004,0,0.391,737,0.5,612,0.49,Harmon et al unpublished,
Pinus,contorta,latifolia,Pineacae,Temperate,EF,CWD-downed,> 30,L,density,0.0004,-99,0,0.36,-99,-99,496,2.24,Brown et al 1998,
Pinus,contorta,latifolia,Pineacae,Temperate,EF,CWD-downed,> 30,L,volume,0.0032,-99,0,0.36,-99,-99,496,2.24,Brown et al 1998,
Pinus,contorta,latifolia,Pineacae,Temperate,EF,CWD-downed,5 - 15,S,density,0.0167,-99,0,0.444,600,0.5,990,5.18,Johnson and Greene 1991,
Pinus,contorta,latifolia,Pineacae,Temperate,EF,CWD-downed,>10,S,density,0.0163,-99,0,0.455,600,4,518,3.97,Fahey 1983,
Pinus,contorta,Murayana,Pineacae,Temperate,EF,CWD-downed,15 - 41,S,density,0.027,-99,0,0.44,280,-99,288,7.11,Busse 1994,
Pinus,jeffreyii,.,Pineacae,Temperate,EF,CWD-downed,>10,S,mass,0.042,-99,0,-99,1255,8,784,1.04,Harmon et al 2005 a,
Pinus,koraiensis,.,Pineacae,Temperate,EF,CWD-downed,>10,S,mass,0.015,0.001,0,0.336,909,-1.9,773,0.01,Yatskov et al 2003,
Pinus,koraiensis,.,Pineacae,Temperate,EF,CWD-downed,>10,S,density,0.016,-99,0,-99,782,3.9,950,1.26,Harmon and Chen 1991,
Pinus,koraiensis,.,Pineacae,Temperate,EF,CWD-standing,>10,S,mass,0.003,0.002,0,0.336,909,-1.9,773,0.01,Yatskov et al 2003,
Pinus,lambertina,.,Pineacae,Temperate,EF,CWD-downed,>10,S,mass,0.036,-99,0,-99,1255,8,784,1.04,Harmon et al 2005 a,
Pinus,monticola,.,Pineacae,Temperate,EF,CWD-downed,>10,S,mass,0.035,0.012,0,-99,813,7,548,6.22,Harmon et al 2005 a,
Pinus,pinaster,.,Pineacae,Temperate,EF,CWD-downed,3 - 15,S,mass,0.049,-99,0,0.43,1035,17.5,382,17.68,Brown et al 1996,
Pinus,ponderosa,.,Pineacae,Temperate,EF,CWD-downed,8 - 12,S,density,0.01,-99,0,0.411,600,8.3,401,8.00,"Ericson et al, 1985",
Pinus,ponderosa,.,Pineacae,Temperate,EF,CWD-downed,>10,S,mass,0.011,0.005,0,-99,813,7,548,6.22,Harmon et al 2005 a,
Pinus,radiata,.,Pineacae,Temperate,EF,CWD-downed,> 2.5,S,density,0.074,0.01,0,0.38,870,10.4,1005,10.29,Ganjegunte et al 2004,
Pinus,radiata,.,Pineacae,Temperate,EF,CWD-downed,> 2.5,S,density,0.015,0.004,0,0.6,870,10.4,1005,10.29,Ganjegunte et al 2004,
Pinus,radiata,.,Pineacae,Temperate,EF,CWD-downed,0,S,density,0.125,-99,0,-99,791,13.4,1202,10.59,Mackensen and Bauhus 2003 ,
Pinus,radiata,.,Pineacae,Temperate,EF,CWD-downed,-99,S,density,0.1374,0.008,0,-99,1820,14,1862,11.11,Garret et al 2008,
Pinus,radiata,.,Pineacae,Temperate,EF,CWD/FWD-downed,>5,S,mass,0.121,-99,0,-99,622,13,690,12.10,Guo et al 2006,
Pinus,resinosa,.,Pineacae,Temperate,EF,CWD-downed,9 - 24,S,density,0.055,-99,0,0.354,640,1,707,6.24,Alban and Pastor 1993,
Pinus,rigida,.,Pineacae,Temperate,DF,CWD-downed,5 - 15,S,density,0.06,-99,0,0.56,1470,13,1460,12.58,Harmon 1982,
Pinus,siberica,.,Pineacae,Boreal,EF,CWD-downed,>10,S,mass,0.019,0.002,0,0.336,216,-0.6,597,-0.48,Yatskov et al 2003,
Pinus,siberica,.,Pineacae,Boreal,EF,CWD-downed,>8,S,density,0.014,-99,0,0.374,600,-3,663,-2.09,Mackensen and Bauhus 2003 ,
Pinus,siberica,.,Pineacae,Boreal,EF,CWD-standing,>10,S,mass,0.003,0.001,0,0.336,216,-0.6,597,-0.48,Yatskov et al 2003,
Pinus,sp,.,Pineacae,Temperate,EF,CWD-downed,>10,S,mass,0.01,0.004,0,-99,2900,11,1797,11.67,Campbell et al 2016,
Pinus,sp,.,Pineacae,Temperate,EF,CWD-standing,>10,S,mass,0.001,0.003,0,-99,2900,11,1797,11.67,Campbell et al 2016,
Pinus,sylvestris,.,Pineacae,Boreal,EF,CWD-downed,>10,S,mass,0.027,0.005,0,0.362,708,3.4,618,4.12,Yatskov et al 2003,
Pinus,sylvestris,.,Pineacae,Boreal,EF,CWD-downed,>10,S,mass,0.036,0.003,0,0.362,216,-0.6,597,-0.48,Yatskov et al 2003,
Pinus,sylvestris,.,Pineacae,Boreal,EF,CWD-downed,>10,S,mass,0.044,0.003,0,0.362,909,-1.9,773,0.01,Yatskov et al 2003,
Pinus,sylvestris,.,Pineacae,Boreal,EF,CWD-downed,>10,S,density,0.024,0.003,0,0.384,700,3.8,608,4.16,Harmon et al 2000,
Pinus,sylvestris,.,Pineacae,Boreal,EF,CWD-downed,>10,S,mass,0.035,0.003,0,0.384,700,3.75,608,4.16,Harmon et al 2000,
Pinus,sylvestris,.,Pineacae,Boreal,EF,CWD-downed,> 10,S,density,0.033,-99,0,0.3941,700,3,608,4.16,Krankina and Harmon 1994,
Pinus,sylvestris,.,Pineacae,Temperate,EF,CWD-downed,0,S,density,0.028,-99,0,0.43,-99,-99,554,-2.09,Wirth 2000,
Pinus,sylvestris,.,Pineacae,Boreal,EF,CWD-various,>8,S,density,0.027,0.001,0,0.46,601,1.38,657,1.24,Shorohova and Kapitsa 2014 ,
Pinus,sylvestris,.,Pineacae,Boreal,EF,CWD-downed,35 - 60,S-tl,mass,0.018,-99,0,-99,650,4,642,4.36,Tarasov and Birdsey  2001,
Pinus,sylvestris,.,Pineacae,Boreal,EF,CWD-downed,15 - 35,S-tl,mass,0.0185,-99,0,-99,650,4,642,4.36,Tarasov and Birdsey  2001,
Pinus,sylvestris,.,Pineacae,Boreal,EF,CWD-downed,0,S,density,0.032,0.002,0,-99,878,10.35,585,8.84,Herrmann et al 2015,
Pinus,sylvestris,.,Pineacae,Boreal,EF,CWD-downed,5 - 15,S-tl,mass,0.041,-99,0,-99,650,4,642,4.36,Tarasov and Birdsey  2001,
Pinus,sylvestris,.,Pineacae,Temperate,MF,CWD-downed,5 - 10,S,mass,0.079,-99,0,-99,812,9.3,841,9.11,De Vries and Kuyper 1988,
Pinus,sylvestris,.,Pineacae,Boreal,EF,CWD-standing,>10,S,mass,-0.02,0.011,0,0.362,361,-3.2,465,0.66,Yatskov et al 2003,
Pinus,sylvestris,.,Pineacae,Boreal,EF,CWD-standing,>10,S,mass,0.004,0.003,0,0.362,216,-0.6,597,-0.48,Yatskov et al 2003,
Pinus,sylvestris,.,Pineacae,Boreal,EF,CWD-standing,>10,S,mass,0.037,0.009,0,0.362,708,3.4,618,4.12,Yatskov et al 2003,
Pinus,taeda,.,Pineacae,Temperate,DF,CWD-downed,>10,S,mass,0.095,0.005,0,0.379,1202,15.1,1168,15.08,Harmon et al unpublished,
Pinus,taeda,.,Pineacae,Temperate,EF,CWD-downed,>7,S,density,0.075,-99,0,0.466,1360,15.4,1189,17.22,Barber and Van Lear 1984. ,
Pinus,taeda,.,Pineacae,Temperate,EF,CWD-downed,>10,S,density,0.122,-99,0,-99,1185,15.5,1196,16.09,Mobley at al 2012,
Pinus,taeda,.,Pineacae,Temperate,DF,CWD-downed,>10,S,mass,0.162,-99,0,-99,1410,13.1,1198,13.96,Harris et al 1972,
Pinus,virginiana,.,Pineacae,Temperate,DF,CWD-downed,5 - 15,S,density,0.04,-99,0,0.56,1470,13,1460,12.58,Harmon 1982,
Piscidia,communis,.,Fagaceae,Tropical,TD,CWD-downed,13,S,mass,0.131,0.066,0,-99,900,25,966,24.60,Eaton and Lawrence 2006 ,
Populus,tremula,.,Salicaceae,Boreal,DF,CWD-various,>8,S,density,0.066,0.002,0,0.372,601,1.38,657,1.24,Shorohova and Kapitsa 2014 ,
Populus,tremula,.,Salicaceae,Boreal,EF,CWD-downed,25 - 60,S,mass,0.044,-99,0,-99,650,4,642,4.36,Tarasov and Birdsey  2001,
Populus,tremula,.,Salicaceae,Boreal,EF,CWD-downed,5 - 25,S,mass,0.071,-99,0,-99,650,4,642,4.36,Tarasov and Birdsey  2001,
Populus,tremuloides,.,Salicaceae,Boreal,DF,CWD-downed,>10,S,mass,0.141,0.021,0,0.3656,780,3.3,708,3.77,Harmon et al unpublished,
Populus,tremuloides,.,Salicaceae,Boreal,EF,CWD-downed,9 - 24,S,density,0.08,-99,0,0.3865,640,1,707,6.24,Alban and Pastor 1993,
Populus,tremuloides,.,Salicaceae,Boreal,EF,CWD-downed,> 5,L,density,0.008,-99,0,0.4,-99,-99,461,-0.27,Sander 2002,
Populus,tremuloides,.,Salicaceae,Boreal,MF,CWD-downed,>10,S,density,0.06,-99,0,0.427,950,0.7,877,1.08,Brais et al 2006,
Populus,tremuloides,.,Salicaceae,Boreal,DF,CWD-downed,>10,S,density,0.049,-99,0,-99,618,3,639,3.23,Miller 1983,
Populus,tremuloides,.,Salicaceae,Temperate,DF,CWD-downed,18,S,mass,0.07,-99,0,-99,370,9.9,393,9.39,Gosz 1980,
Prumnoptitys,ferruginea,.,Podocarpaceae,Temperate,EF,CWD-downed,-99,S,density,0.052,0.0153,0,-99,1600,10.25,1424,12.11,Beets et al 2008,
Prumnoptitys,taxifolia,.,Podocarpaceae,Temperate,EF,CWD-downed,-99,S,density,0.0147,0.0026,0,-99,1600,10.25,1424,12.11,Beets et al 2008,
Pseudobombax,ellipticum,.,Malvacaea,Tropical,TD,CWD-downed,>10,S,mass,0.606,0.041,0,0.33817815,1307,27,1185,26.12,Harmon et al unpublished,
Pseudotsuga,menziesii,.,Pineacae,Temperate,EF,CWD-downed,< 50 - 103,S,density,0.0063,-99,1,0.35,2200,7.05,1317,5.83,Means et al 1985,
Pseudotsuga,menziesii,.,Pineacae,Temperate,EF,CWD-downed,40 - 70,S,density,0.01,0.001,1,0.386,2030,7.55,1526,8.66,Sollins et al 1987,
Pseudotsuga,menziesii,.,Pineacae,Temperate,EF,CWD-downed,>10,S,density,0.007,0.002,1,-99,2500,8.7,1252,7.90,Janisch et al 2005,
Pseudotsuga,menziesii,.,Pineacae,Temperate,EF,CWD-downed,<40,S,density,0.009,-99,1,-99,2300,8.5,1317,5.83,Graham 1982,
Pseudotsuga,menziesii,.,Pineacae,Temperate,EF,CWD-downed,40-65,S,density,0.009,-99,1,-99,2300,8.5,1317,5.83,Graham 1982,
Pseudotsuga,menziesii,.,Pineacae,Temperate,EF,CWD-downed,>65,S,density,0.011,-99,1,-99,2300,8.5,1317,5.83,Graham 1982,
Pseudotsuga,menziesii,.,Pineacae,Temperate,EF,CWD-downed,>10,S,mass,0.014,-99,1,-99,2467,8.7,1252,7.90,Harmon et al 2005 a,
Pseudotsuga,menziesii,.,Pineacae,Temperate,EF,CWD-downed,>10,S,mass,0.015,0.001,1,0.449,2500,10,1526,8.66,Harmon et al 2005 a,
Pseudotsuga,menziesii,.,Pineacae,Temperate,EF,CWD-downed,>10,S,mass,0.016,0.003,1,-99,2900,11,1797,11.67,Campbell et al 2016,
Pseudotsuga,menziesii,.,Pineacae,Temperate,EF,CWD-downed,21 - 26,S,mass,0.026,-99,1,-99,1440,9.4,1733,8.92,Edmonds and Eglitis 1991,
Pseudotsuga,menziesii,.,Pineacae,Temperate,EF,CWD-downed,28- 47,S,mass,0.05,-99,1,-99,1440,9.4,1733,8.92,Edmonds and Eglitis 1991,
Pseudotsuga,menziesii,.,Pineacae,Temperate,EF,CWD-standing,>65,S,density,0.003,-99,1,-99,2300,8.5,1317,5.83,Graham 1982,
Pseudotsuga,menziesii,.,Pineacae,Temperate,EF,CWD-standing,>10,S,mass,0.01,0.002,1,-99,2900,11,1797,11.67,Campbell et al 2016,
Pseudotsuga,menziesii,.,Pineacae,Temperate,EF,CWD-standing,40-65,S,density,0.013,-99,1,-99,2300,8.5,1317,5.83,Graham 1982,
Pseudotsuga,menziesii,.,Pineacae,Temperate,EF,CWD-standing,<40,S,density,0.027,-99,1,-99,2300,8.5,1317,5.83,Graham 1982,
Quercus,alba,.,Fagaceae,Temperate,DF,CWD-downed,11,S,density,0.063,0.006,2,0.734,1820,12.9,1924,11.90,Mattson et al 1987,
Quercus,alba,.,Fagaceae,Temperate,DF,CWD-downed,>10,S,mass,0.049,0.005,2,0.572,1202,15.1,1168,15.08,Harmon et al unpublished,
Quercus,coccinea,.,Fagaceae,Temperate,DF,CWD-downed,5 - 15,S,density,0.1,-99,1,0.68,1470,13,1460,12.58,Harmon 1982,
Quercus,coccinea,.,Fagaceae,Temperate,DF,CWD-downed,15,S,density,0.05,0.006,1,0.716,1820,12.9,1924,11.90,Mattson et al 1987,
Quercus,petraea,.,Fagaceae,Temperate,DF,CWD-downed,> 2,L,mass,0.067,-99,1,0.574,-99,-99,639,9.72,Swift et al 1976,
Quercus,prinus,.,Fagaceae,Temperate,DF,CWD-downed,5 - 15,S,density,0.18,-99,1,0.66,1470,13,1460,12.58,Harmon 1982,
Quercus,prinus,.,Fagaceae,Temperate,DF,CWD-downed,8.7,S,density,0.17,0.038,1,0.708,1820,12.9,1924,11.90,Mattson et al 1987,
Quercus,robur,.,Fagaceae,Temperate,DF,CWD-downed,> 2,L,mass,0.067,-99,1,0.574,-99,-99,639,9.72,Swift et al 1976,
Quercus,robur,.,Fagaceae,Temperate,DF,CWD-downed,>1,S,mass,0.26,-99,1,-99,-99,-99,720,7.65,Christensen 1977,
Quercus,rubra,.,Fagaceae,Temperate,DF,CWD-downed,>10,S,density,0.0244,-99,1,0.66,737,6.7,837,7.20,Hale and Pastor 1998,
Quercus,rubra,.,Fagaceae,Temperate,DF,CWD-downed,>10,S,mass,0.09,0.011,1,0.553,1202,15.1,1168,15.08,Harmon et al unpublished,
Quercus,sp,.,Fagaceae,Temperate,DF,CWD-downed,5 - 95,S,density,0.0175,-99,1,0.4878,1180,11.3,1169,12.47,MacMillan 1988,
Quercus,sp,.,Fagaceae,Temperate,DF,CWD-downed,25 - 35,S,density,0.069,-99,1,0.65,1230,9.5,397,9.64,Schowalter et al 1998,
Quercus,sp,.,Fagaceae,Temperate,DF,CWD-downed,>10,S,density,0.0295,-99,1,-99,1200,12.2,1169,12.47,MacMillan 1981 ,
Quercus,sp,.,Fagaceae,Temperate,DF,CWD-downed,>10,S,mass,0.16,-99,1,-99,1410,13.1,1198,13.96,Harris et al 1972,
Quercus,velutina,.,Fagaceae,Temperate,DF,CWD-downed,>10,S,mass,0.065,0.001,1,0.563,1202,15.1,1168,15.08,Harmon et al unpublished,
Rhizophora,sp,.,Rhizophoraceae,Tropical,TR,CWD-downed,0,S,mass,0.0831,-99,0,0.4255,3133,23.8,1169,12.47,Robertson and Daniel 1989 ,
Robinia,pseudoaccacia,.,Fabeaceae,Temperate,DF,CWD-downed,9.7,S,density,0.015,0.005,3,0.734,1820,12.9,1924,11.90,Mattson et al 1987,
Sabal,sp,.,Arecaceae,Tropical,TD,CWD-downed,>10,S,mass,0.449,0.07,0,0.567089501,1307,27,1185,26.12,Harmon et al unpublished,
Schima,superba,.,Theaceae,Tropical,ST,CWD-downed,>12,S,density,0.157,-99,1,0.887,1956,21.5,1776,21.40,Yang et al 2010,
Swartzia,cubensis,.,Fabeaceae,Tropical,TD,CWD-downed,>10,S,mass,0.244,0.036,0,0.653863333,1307,27,1185,26.12,Harmon et al unpublished,
Swietenia,macrophylla,.,Meliaceae,Tropical,TD,CWD-downed,>10,S,mass,0.218,0.026,1,0.5,1307,27,1185,26.12,Harmon et al unpublished,
Tabebuia,rosea,.,Bignoniaceae,Tropical,TD,CWD-downed,15,S,density,0.061,-99,1,0.76,1100,25,1195,13.96,Harmon et al. 1995,
Talisia,olivaeformis,.,Sapindaceae,Tropical,TD,CWD-downed,15,S,density,0.03,-99,0,0.79,1100,25,1195,13.96,Harmon et al. 1995,
Thuja,plicata,.,Cupressaceae,Temperate,EF,CWD-downed,20 - 40,S,density,0.009,0.001,2,0.318,2030,7.55,1526,8.66,Sollins et al 1987,
Thuja,plicata,.,Cupressaceae,Temperate,EF,CWD-downed,>10,S,mass,0.007,0.002,2,0.338,2500,10,1526,8.66,Harmon et al 2005 a,
Tilia,amurensis,.,Malvacaea,Temperate,EF,CWD-downed,>10,S,density,0.027,-99,0,-99,782,3.9,950,1.26,Harmon and Chen 1991,
Tsuga,canadensis,.,Pineacae,Temperate,EF,CWD-downed,25 - 35,S,density,0.021,-99,0,0.36,780,5.5,786,4.00,Tyrrell and Crow 1994 ,
Tsuga,canadensis,.,Pineacae,Temperate,DF,CWD-downed,5 - 15,S,density,0.04,-99,0,0.43,1470,13,1460,12.58,Harmon 1982,
Tsuga,heterophylla,.,Pineacae,Temperate,EF,CWD-downed,20 - 40,S,density,0.016,0.003,0,0.348,2030,7.55,1526,8.66,Sollins et al 1987,
Tsuga,heterophylla,.,Pineacae,Temperate,EF,CWD-downed,> 30,S,density,0.0079,-99,0,0.374,3550,8.9,582,6.39,Graham and Cromack 1982,
Tsuga,heterophylla,.,Pineacae,Temperate,EF,CWD-downed,< 30,S,density,0.01,-99,0,0.374,3550,8.9,582,6.39,Graham and Cromack 1982,
Tsuga,heterophylla,.,Pineacae,Temperate,EF,CWD-downed,>10,S,density,0.023,-99,0,0.374,3550,8.9,582,6.39,Graham and Cromack 1982,
Tsuga,heterophylla,.,Pineacae,Temperate,EF,CWD-downed,30 - 41,S,mass,0.0118,-99,0,0.42,3420,10.15,1851,10.96,Grier 1978,
Tsuga,heterophylla,.,Pineacae,Temperate,EF,CWD-downed,<25,S,density,0.012,-99,0,-99,2300,8.5,1317,5.83,Graham 1982,
Tsuga,heterophylla,.,Pineacae,Temperate,EF,CWD-standing,>25,S,density,0.016,-99,0,-99,2300,8.5,1317,5.83,Graham 1982,
Tsuga,heterophylla,.,Pineacae,Temperate,EF,CWD-standing,<25,S,density,0.017,-99,0,-99,2300,8.5,1317,5.83,Graham 1982,
Tsuga,heterophylla,.,Pineacae,Temperate,EF,CWD-downed,>10,S,mass,0.018,-99,0,-99,2467,8.7,1526,8.66,Harmon et al 2005 a,
Tsuga,heterophylla,.,Pineacae,Temperate,EF,CWD-downed,>10,S,mass,0.023,-99,0,-99,2489,10,1060,11.37,Harmon et al 2005 a,
Tsuga,heterophylla,.,Pineacae,Temperate,EF,CWD-downed,>25,S,density,0.024,-99,0,-99,2300,8.5,1317,5.83,Graham 1982,
Tsuga,heterophylla,.,Pineacae,Temperate,EF,CWD-downed,>10,S,mass,0.026,0.002,0,0.411,2500,10,1526,8.66,Harmon et al 2005 a,
Tsuga,heterophylla,.,Pineacae,Temperate,EF,CWD-downed,>10,S,density,0.036,0.008,0,-99,2500,8.7,1252,7.90,Janisch et al 2005,
 , , , , , , ,  , , , , , , , , , , , , 
